,txId1,txId2,prediction_label
22302,5024196,95063120,0
2903,244301081,244716145,0
31226,92021036,98639538,0
8550,175079923,47395242,0
6298,121655229,121655226,0
18867,84470424,87106621,0
11381,238238255,238238273,0
31061,94623588,92735262,0
12138,390320281,349194665,0
2924,245231975,245231971,0
12806,248917398,249239623,0
19195,139281546,139281552,0
31952,105588420,105975729,0
10147,346462299,391068622,0
25200,28902293,30151745,0
21177,11235277,344589840,0
7170,94332322,94559242,0
16628,338200307,337099368,0
32028,106309535,106724411,0
8275,118143543,190822369,0
23946,14915621,200067272,0
10232,339089165,339648620,0
16615,331495006,124719547,0
31812,105997028,106756614,0
1745,3878589,230520418,0
7246,190080140,190433003,0
30828,72313850,72313847,0
5537,225061394,33165531,0
36421,157966645,194064392,0
34475,162258255,117341490,0
25728,114641619,116073592,0
33591,155538999,156313815,0
31180,94285411,91961924,0
29528,73390481,29359565,0
31205,92120888,92020975,0
18621,283195181,269884945,1
15326,372535139,308007729,0
2548,310486151,276947841,0
21330,355099181,355370886,0
9981,6930504,312117369,0
32723,105804672,105805015,0
19634,163866960,5565278,0
18699,81154825,84712358,0
27024,148785284,148785476,0
16729,331528610,331545958,0
20740,353375108,381120038,0
31527,94291809,74848928,0
11181,240770454,238226904,0
9644,234561904,234561902,2
31470,94333591,92756954,0
21969,46490456,355509830,0
10190,346107397,257234205,0
35078,31646401,218468774,0
31975,105827008,105826991,0
119,89273,32879801,0
8285,174789242,81234134,0
29896,73026941,12649359,0
752,232072340,230405994,0
29452,70786440,72753731,0
22436,92107128,92735496,0
18470,6214724,269532482,0
19680,163667318,163667324,2
1832,230969919,231181878,0
2013,735881,310459038,0
9860,343569898,346382340,0
30804,72649786,73248732,0
19638,166082737,163656784,0
7531,191647037,4193420,0
7411,391137,191460631,0
22036,355006941,355006939,0
32093,21494739,106366227,0
10520,69043540,339975977,0
17550,272473426,272747208,0
27381,24704981,98605556,0
10825,15872619,15872598,0
35232,218068532,38688623,0
14499,3076292,99129103,0
4275,86565718,16398612,0
4623,57410868,279019748,0
32025,2346844,106841954,0
339,89273,34300577,0
26751,149182998,32228862,0
30017,11057227,73449392,0
17231,128963782,272492101,0
568,230444846,230444448,0
32427,105461736,106323319,0
20958,376204393,385980597,2
30700,72040579,72399707,0
3247,245791760,215112201,0
25685,116081878,115723285,1
10087,399671579,347334583,0
9107,43026517,43537842,0
10777,339567529,233467988,0
33799,125820268,12172125,0
27761,96675147,4860461,0
21645,355110139,355156382,1
12184,390320395,390320394,0
36364,709696,106877725,0
16446,67942313,331542127,0
22334,4846284,95568530,0
23748,69765312,69765544,0
19524,163893315,163893320,0
6452,94672399,98631120,0
27564,66411922,46230282,0
1053,95764515,234029888,0
1109,3403739,3404363,0
16849,280094724,331546536,0
4301,279948960,22837784,0
4764,36438817,225287026,0
24209,201419737,206376233,0
18849,86162920,91722749,0
22124,6471147,98426796,0
22804,288279481,288423095,0
5994,225069846,225909559,0
33653,56567194,156066467,0
16076,372823110,321139444,0
30597,71774870,73080342,0
22274,28350603,96961109,0
12314,390427032,344147720,0
26040,115274072,115946082,0
26193,7015277,149168096,0
26443,148860009,149168097,0
16568,331996869,332771446,1
7534,191774588,4193420,0
17809,272077869,272077870,2
10048,346415954,399890896,0
9123,42674486,42674484,0
7715,190825628,190829523,0
2604,310492313,310492296,0
9658,234205936,234205932,0
6329,121657437,121657436,0
9916,346386362,346386178,0
24119,48536569,201000368,0
17399,272308029,272437632,0
19567,163652662,163807964,2
1094,232037102,232034949,0
3481,245409288,245831620,0
34462,181977175,182002742,0
4651,86564006,279012333,0
11359,241532146,240764131,0
35320,41070611,218263504,0
14909,2984918,295844466,0
29165,13284261,13425873,0
15681,365321907,308243860,0
30444,73093992,73390320,0
20976,340884251,376216511,0
12519,352368865,390320402,0
6722,94194009,94194003,0
13093,363147214,363147216,0
18506,7167318,211645628,0
12653,248906412,248906407,0
36149,3459544,45766,0
20918,382770349,187930981,2
19772,57134700,39080155,2
35863,7952,4637054,0
5300,225342382,225671247,0
32718,106417628,106814904,0
4309,55848006,88196385,0
24261,11750730,201862388,0
30130,73132953,73422960,0
31230,94890405,94890401,0
24847,199404540,199404537,0
5563,224747380,225062116,0
31965,105889570,106001186,1
21363,355089188,355090946,1
34372,121078673,155582943,0
17722,272089705,272506100,0
20468,298983382,299120541,0
4775,9189162,225941237,0
10217,399682334,346389993,0
34976,111690202,195426635,0
7303,74044,8775836,0
26914,148814767,148814770,0
16600,331500050,338675536,0
7344,190829145,84593745,0
20567,376239228,381120031,0
14041,209118635,209723662,0
4642,86789703,86789714,0
30581,73230576,73231321,0
22311,4925897,350194242,0
24655,200656553,200656543,0
7314,8823819,191121614,0
23598,69989725,69989672,0
16887,331512046,331543441,0
14045,208993106,81834567,0
27938,97702028,98059174,1
5938,73540214,224668254,0
17107,331545938,331556163,0
9286,43148235,43148232,0
35454,31582491,123428355,0
31243,6887417,94282211,0
20585,26185679,337902549,0
4688,225703427,225703422,0
8839,43039299,43388675,0
13682,209060715,209722457,0
28105,97027625,97027622,0
3488,246114671,246280984,0
36061,155460571,7218938,0
16785,331536042,331556162,0
32227,106402463,106402217,0
4635,86925934,88196357,0
36082,1986315,3646891,0
17190,145950209,272469199,0
5851,225893734,152101337,0
10642,339153336,19847992,0
24995,199381173,199944367,0
10119,346155485,346155566,0
31361,98649353,94288275,0
20555,143795108,386011230,0
5423,126993022,225318508,0
8526,179065927,126762337,0
34641,6629462,196089039,0
21180,355179969,344589840,0
17320,143818879,272704063,0
25596,79143470,115186990,0
12741,248900362,248916950,0
31567,94078576,98653614,0
16424,331496387,331512010,0
20542,380144002,382989698,0
36431,170913500,148848600,0
28467,12781680,12804355,0
9072,13690412,43445202,0
10946,16162819,16162295,0
14062,209043823,209044304,0
10066,346118663,349300442,0
19771,163670725,168207443,0
22321,4846284,93725787,0
35529,218124812,219397937,0
33929,155813476,108292235,0
28152,97023499,97404552,0
2601,310088706,310473579,0
5632,224243751,142913708,0
36224,158373296,157930723,1
20811,340702303,383023532,0
6926,94225814,98788299,0
17332,272069868,272483700,0
21406,355136222,355230735,0
2046,310469166,310469164,0
1466,231995257,230521271,0
18468,6214724,102526985,0
32543,105975043,106314065,0
11922,390558306,390774799,0
28396,12806146,12806113,0
3541,279460808,87981590,0
25922,114507940,114626822,0
13453,208963301,8203186,0
34437,157252863,157296708,0
12334,57138711,259156564,0
19563,163653264,163803800,0
12432,333974001,390571413,1
8058,190032422,190032263,0
24534,200057362,200992457,0
24010,216521506,86043782,0
11936,353862896,68904500,0
29075,13264769,13264777,0
12160,247095485,158337015,0
14447,99250988,99914493,0
20595,26185679,126568158,0
5432,224679469,224679467,0
27887,97066702,97408977,0
13209,362960143,363094582,0
21943,355099281,355157597,0
29776,71822801,73042467,0
11175,7243114,238226904,0
1091,232906649,232440027,0
26771,148546162,151224076,0
20862,376240568,381120117,0
15427,372971115,373075807,0
28931,12672833,12672535,0
27126,148844993,43881377,0
25312,22063303,29240276,0
2528,310522845,310522842,0
34282,5582638,156172217,0
23888,70450102,62243420,0
32273,105858997,105979312,0
9943,399672629,399986814,0
21184,355156555,355371184,0
31565,94273108,94551364,0
22149,5024196,96357449,0
293,230461032,230461031,0
5412,224970225,225674727,0
33824,155535108,12172125,0
6766,94497343,98749295,0
12620,248902658,248902657,0
10239,339095140,339648620,1
4968,224715278,224715276,0
8210,190822075,7156178,0
31780,98655869,94282454,0
22741,288117592,288368538,0
2220,312834007,310493405,0
18385,488266,270766952,0
8064,189985643,191167240,0
8579,175465980,226652615,0
35500,218029198,135805287,0
4782,11252891,225262365,0
31121,91938681,94590977,0
32848,106393052,106856225,0
6679,94487269,98428159,0
12376,349194665,390772895,0
4457,30550559,4421569,0
6940,94159949,94192349,0
20734,376210673,381120038,1
28876,12665141,13029248,0
19377,48202347,36587040,0
36356,189241730,47521535,0
11724,378280771,378469970,0
25897,114528470,115723287,0
20735,234484647,381120038,0
20922,160111358,386137218,0
34199,156055015,156055502,0
32223,106393296,106816578,0
6884,96459848,94498579,0
14367,99271146,99675435,1
15759,260010357,372672236,0
7934,190824931,126858847,0
24656,29225466,171180032,0
3645,2512724,87400211,0
31961,105603035,106001186,1
5137,225004790,132583729,0
1625,232892825,230575457,0
7375,190081882,190450671,0
34092,164858248,164753018,0
21849,355176129,355368456,0
25372,30167824,30167830,0
3132,246115915,246378345,0
32423,105788948,106319719,0
9738,16283222,23498001,0
1861,230467965,230467956,0
25759,55275135,115726098,0
17459,272334231,272334226,0
31142,94254140,91961924,0
19364,163653037,163809013,0
7477,191121960,32874531,0
5831,97511592,48198197,0
34613,164664036,155590997,0
29825,22583076,73293386,0
36359,30751217,157605714,0
138,89273,105855467,0
35536,41070254,218128787,0
34672,5162648,133876531,0
15072,2984918,312002994,0
6714,94344475,17199755,0
22282,3846685,94893403,0
10345,339057547,339568317,1
25974,114714743,114714780,0
28034,97733185,98592205,0
16294,331492074,331492671,0
1647,230515089,182448768,0
30553,71463388,71763617,0
11834,378151531,378472213,1
1023,230456710,2880930,0
2984,9667606,244688630,0
22122,6471147,95575872,0
8720,175120805,175478444,0
30776,73303336,73303527,0
17424,272141685,272141681,0
29559,73331609,73330801,0
31717,94314789,91929747,0
1270,230529178,54735269,0
8626,179065062,179065054,0
34945,110963409,8159507,0
23323,67628078,67627706,0
26886,51113603,148847757,0
22581,143286940,226728629,0
14863,372823078,317009336,0
9801,353791707,347550863,0
22583,3181,288423035,0
30796,72373093,7917625,0
944,230649655,230649652,0
18467,6214724,129629174,0
7599,190822891,190826159,0
14162,100043944,99933118,0
11289,13237573,23450745,0
34954,14950809,195436530,0
18115,272148432,71382701,2
15526,27044004,328203032,0
25431,29200761,29200754,0
8671,179033937,226700618,0
20681,376283974,386022772,0
3898,86608871,279472690,0
33972,155748985,156316756,0
28209,97760586,99732822,0
23709,69762609,69762618,0
32762,105788970,106311975,0
16837,331547550,65469008,0
17982,272283926,272680543,0
7628,191243061,191243056,0
14232,774002,100152962,0
25634,114626822,115270578,1
36427,157995799,194335216,0
9297,65686639,48433037,0
24519,200993394,200993389,0
25228,46264848,30171560,0
8976,43388427,43388421,0
25656,115242044,115239651,0
7568,391137,191723368,0
756,230467956,57801713,0
35751,218680450,219720174,0
15114,2984918,172227869,0
4081,22837907,22837806,0
14023,209517742,209517738,0
32487,106311927,106311921,0
7683,190450461,190450302,0
12029,58232600,327867530,0
17162,331505433,331563976,0
24954,26255414,201419737,0
6676,94671185,94671179,0
16112,298313926,306355819,0
10104,346097728,346097525,0
17576,272490236,281347729,1
5380,224208343,224718397,0
16905,334396010,337089660,0
27260,6978680,96988124,0
20544,382990187,382989698,0
18635,276996689,276997322,0
17309,66502079,272483707,0
23846,70457391,70457732,0
25141,6127258,30846014,0
6623,94160538,94723368,0
16051,312447975,312447972,0
77,3875041,232438397,0
9744,154760316,234380925,0
8411,226666695,179113037,1
8268,191198260,191198248,0
16632,331529195,258833798,0
819,3158307,232354183,0
19735,163656784,163656773,0
26225,12284459,149158766,0
29960,73127901,73331130,0
16158,5678249,336715518,0
20392,299063449,239555804,0
32174,106390578,46893559,0
22962,53776304,69776359,0
12036,390332686,390511770,0
34213,164687321,155816200,0
28553,12806755,12806606,0
24265,3678760,201862388,0
1061,230473601,59397801,0
13594,190440214,209837677,0
4090,277429782,86724475,0
30435,73404067,73404024,1
33418,40917947,19670253,0
22211,95642173,96365231,1
32018,106021879,106300458,0
27141,148786690,148786696,0
5586,224714470,225898872,0
22474,197467212,288717023,1
20819,376216516,311428789,0
28920,12672817,18282809,0
3336,245177803,245831204,0
35787,218264956,218145693,0
8918,68450494,68629335,0
18690,84364238,85008951,0
3724,86734563,58046958,0
11873,255589464,378595613,2
13599,209695451,209837677,0
30382,72312179,72683236,0
6574,94048575,94634448,0
27706,45432364,98419647,0
16360,331501255,331518860,0
1934,6271519,310170119,0
10960,15988221,15988125,0
4810,225049734,225694064,0
33409,155686193,20521889,0
22472,7154509,288717023,1
12045,390343438,390422269,0
24854,11750730,200634059,0
18928,85258052,85258030,0
27379,7951587,98605556,0
22612,99332126,288676970,0
11516,241501569,244625918,0
21953,254428878,355998263,2
9179,40655507,43019176,0
8319,1631119,179122184,0
19620,163655544,163862515,0
36271,158349653,190135471,1
3039,245227132,246135738,0
19306,165887900,163670753,1
6914,94119403,94375436,0
29693,71759106,21456350,0
36248,158281816,109383451,0
33494,155583242,155549608,0
4487,86787974,22838016,0
22958,54798281,70023047,1
28137,97760589,97760586,0
24385,206462722,201494647,0
4598,279130076,86738303,0
28807,32230092,22776993,0
19006,95620787,94205585,0
4627,270710028,86796563,0
35741,218047748,218117022,0
30660,71457961,71759111,0
31572,94367111,94645492,0
14116,12427320,115228585,0
20661,201472090,382999972,0
3511,279440575,190510838,0
14849,2984918,372739484,0
30343,27529041,73079192,0
34492,166327344,164676899,0
33699,155737641,156166434,0
8729,175799434,26849960,0
31625,98652723,94296267,0
26618,148609616,19559928,0
15622,312451159,372813334,0
31098,92021036,94954369,0
1729,230679220,54732610,0
15068,2984918,123347091,0
22739,122001167,288368538,0
26423,149567146,149161349,0
35067,124922317,36364435,0
32272,105848344,105979312,0
24933,200620490,96453477,0
22461,92095026,92728249,0
31207,94286465,92020975,0
34470,156126511,156126515,0
28504,12663785,12987200,0
411,230748737,232927787,0
28329,97014328,34879458,0
13695,209673883,209673652,0
23234,14051227,54887344,0
28746,12663820,13333148,0
10757,339057175,133053738,0
6769,94499859,94669104,0
29234,12805711,12805805,0
16563,336437275,332771446,1
33635,155586757,7556199,0
4941,224976550,225336338,0
13879,209922542,209922538,1
28663,12663785,12804393,0
16652,331566664,363384022,0
14885,317001238,372979931,0
29686,71770124,21456350,0
11210,8511812,238199991,0
21652,208963342,355184738,0
7460,190832298,190832053,0
23368,67597991,67597994,0
30715,72000063,72313330,0
35745,218135731,219415330,0
6306,121553634,121553630,0
28776,10695436,13401021,0
20349,298967067,298967059,0
19928,163807974,163865476,0
28890,13401807,13401811,0
14892,2984918,368737479,0
7196,94009350,94444096,0
28831,12665078,12665008,0
35288,90578545,218287846,0
2522,310438478,310438475,0
27957,96704448,97101991,0
11949,258101194,390592087,0
13510,209517738,211083395,1
30886,94256552,94256093,0
4011,88232904,279488120,0
4981,220745310,225860769,0
1755,230339474,232348855,0
33014,105460670,106323743,0
30954,94611187,91882349,0
7488,190426586,71439409,0
26774,161441715,148549369,0
26800,15341623,148851798,0
13972,209511361,209511358,0
3234,245243928,245417415,0
12553,390040335,390057624,0
24461,198793589,198793579,0
3542,224034427,279437581,0
29872,41342269,12649359,0
25400,39663342,39663353,0
23754,69766502,36621667,0
16461,331496842,331513085,0
18869,37498494,294545803,0
17999,272089653,272153864,0
35827,218075700,92692345,0
21264,355008923,355008922,0
16341,5689045,337084502,0
7755,191192918,191194788,0
25862,62229594,115952438,0
4831,225702383,225702141,0
16419,117146401,331536061,0
19251,163586440,142611854,2
641,230470029,230530336,0
20129,163653557,163886843,2
9404,134922,234861310,0
24852,200040099,200633982,0
23853,55987783,69762964,0
25034,200484816,60926373,0
21531,355110115,355110121,2
16731,54162485,336447907,0
33310,155645937,35617620,0
15070,2984918,372696375,0
18167,269524776,158489258,0
36376,157581531,106877725,0
27272,14393317,36838022,0
12258,390068154,390425812,0
33252,105975798,106366575,0
3845,86746247,73171316,0
9486,4461089,234685698,0
16350,5689045,357167388,0
14936,314517251,318669119,0
17467,299375000,272154357,0
1370,230456623,230456618,0
16572,331555629,336428579,0
18434,268791616,269508326,0
23363,67633247,67633244,0
6456,94365618,94855278,0
7212,94732372,99220973,0
4731,95967071,224658337,0
17678,272330539,272416182,0
8852,565334,43456139,0
31297,94581107,99262806,0
26975,148827450,148827455,0
9710,71979909,11957000,0
26797,149705613,149705617,0
7542,8823819,191119218,0
14693,2984918,310840067,0
6334,121298641,121634257,0
14965,2984918,372957764,0
15018,2984918,372980232,0
21340,355203994,355230690,0
36584,165092713,59205071,0
25190,21498012,35793819,0
16005,372535874,312450804,0
1651,230438537,14558195,0
21316,355007574,355102398,1
23291,53776304,68954616,1
23402,55970009,54906193,0
15446,372694096,373155014,0
31386,94591818,99261455,0
29241,12688733,12688728,0
14690,2984918,372721606,0
22840,288463305,128009693,2
2408,275582450,278187718,0
26852,148863481,67014644,0
36262,158574513,109383451,0
30972,94079229,1454780,0
4665,86631282,86801687,0
24128,200758287,200990304,0
15940,340832122,372871303,0
36614,157913836,71046356,0
32202,17500202,105856930,0
22888,288456110,288590159,0
29304,12678082,12678078,0
35986,3340340,4692401,0
36244,158574309,109383451,0
12187,223749911,390419371,0
21136,42639719,168320239,0
25316,29491928,30179316,1
5984,224970782,225320327,0
7340,189985136,191185492,0
925,232006979,232448372,0
29504,73390503,29359565,0
19313,69587579,163895318,0
32693,100265259,106302519,0
25389,29140182,8893820,0
30511,72376933,73155263,0
13592,209515365,209837677,0
11371,245682794,245682810,0
17503,272192208,272192205,0
1516,7658496,89273,0
885,230336050,14942862,0
10336,339057917,339568317,1
25624,114969923,115270578,0
22272,28350603,102948392,0
30862,94360794,94360384,0
25124,5734936,29197707,0
29682,72298296,38538087,0
24169,26394081,201420450,0
35924,3275110,3274489,0
2767,309956890,270463681,0
6566,94319548,94621528,0
7957,190527817,191127866,0
31647,91961269,94906481,0
21105,28361537,355006907,0
22166,92479117,92512070,0
10327,339057155,339568317,1
25447,30173115,29854235,0
10056,399668383,399668386,0
17947,272172114,272172111,0
35961,7952,4644028,0
5637,225715282,224682336,0
1443,230946692,3768941,0
7946,111783519,191685777,0
26315,114898290,148612058,0
26445,149605863,149168097,0
16478,331567208,336472341,0
31154,94341464,91961924,0
18545,273456841,277082298,0
19458,163669687,163669681,0
28424,12705568,12797069,0
10003,346406798,346406802,0
16460,331496842,331513087,0
8039,190039104,30373184,0
16487,30620621,55053635,0
10524,339156510,339156502,1
26607,21940716,149567836,0
32373,106311436,106717907,0
36453,115309894,158269130,0
1090,230461032,232440027,0
33247,105774514,105774511,0
31722,91975356,91881919,0
13976,208904961,209045471,0
17981,272462671,272706356,0
34544,155816178,156315082,0
7481,191127666,32874531,0
36358,158391449,47521535,0
8470,179034051,179034048,0
14031,209478839,209478837,0
3581,2512477,279018287,0
11542,96876762,245648917,0
4682,225703426,225703422,0
7277,74044,191160287,0
23966,199321362,10075210,0
31334,94255489,94255281,0
21152,355006877,355110272,1
19342,23881442,157319250,0
11080,15988236,15988734,0
26494,148789748,152361795,0
2240,310520604,310520421,0
18098,272077844,272077847,2
5268,225328812,225659181,0
1442,230946692,230946408,0
16315,343063325,336728994,0
24342,46672640,201433814,0
17647,272282027,272334240,0
23801,69349836,68900424,0
13371,363225867,363225871,0
9182,68466267,42672012,0
2728,310463624,310471601,0
21002,338388275,386085318,2
